,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
1807,88982,-37.94820023,145.0513153,66 Rowans Road,Highett,7800000,house,2009,3,2,0,SC_079,905,19872,829,39,0,hospital_082,1447,S_069,905
1808,88989,-37.94716644,145.0367584,7 Allen Street,Highett,14127000,house,2009,4,2,2,SC_079,437,19872,470,39,0,hospital_110,1570,S_069,437
1809,89023,-37.947417,145.051576,76 Rowans Road,Highett,6875000,house,2011,3,1,2,SC_079,941,19872,859,39,0,hospital_082,1523,S_069,941
1810,89059,-37.947825,145.023393,9 Jillian Avenue,Highett,10890000,house,2010,4,2,2,SC_079,1558,19872,1623,39,0,hospital_058,1575,S_214,290
1811,89075,-37.960651,145.011962,1 Edward Street,Sandringham,12640000,house,2011,4,2,2,SC_079,2858,19948,1319,28,0,hospital_058,611,S_214,1916
1812,89076,-37.953782,145.013558,1 Heath Street,Sandringham,27680000,house,2014,3,2,2,SC_079,2469,19948,878,28,0,hospital_058,977,S_214,1197
1813,89086,-37.9540863,145.021637,1 Miller Street,Sandringham,7980000,house,2009,3,1,3,SC_079,1792,19948,1556,28,0,hospital_058,862,S_214,966
1814,89097,-37.95191,145.008459,1/49-51 Bay Road,Sandringham,18060000,house,2015,3,2,2,SC_079,2879,19948,384,28,0,hospital_036,1134,S_214,1401
1815,89099,-37.95806503,145.010437,1/7 Royal Avenue,Sandringham,9900000,house,2009,2,2,2,SC_079,2866,19948,1003,28,0,hospital_058,831,S_214,1742
1816,89112,-37.9564255,145.0131196,10 Victoria Street,Sandringham,19400000,house,2012,4,3,2,SC_079,2584,19948,1012,28,0,hospital_058,757,S_214,1458
1817,89119,-37.952899,145.010735,102 Bay Road,Sandringham,13040000,house,2016,4,2,2,SC_079,2695,19948,612,28,0,hospital_058,1194,S_214,1301
1818,89131,-37.95824814,145.0236969,11 Green Parade,Sandringham,14720000,house,2008,4,3,2,SC_079,1831,19948,1896,28,0,hospital_058,560,S_214,1435
1819,89253,-37.950327,145.018837,167 Abbott Street,Sandringham,16050000,house,2012,4,2,2,SC_079,1956,19948,1253,28,0,hospital_058,1245,S_214,618
1820,89381,-37.95935,145.024479,25 Cooke Street,Sandringham,17680000,house,2012,4,2,2,SC_079,1847,19872,1951,39,0,hospital_058,550,S_214,1564
1821,89388,-37.957331,145.014226,25 Kirkwood Avenue,Sandringham,31200000,house,2010,5,3,2,SC_079,2526,19948,1151,28,0,hospital_058,617,S_214,1496
1822,89397,-37.95943,145.023799,26 Green Parade,Sandringham,11700000,house,2010,4,2,2,SC_079,1900,19948,1969,28,0,hospital_058,493,S_214,1566
1823,89413,-37.95637,145.008564,28 Cowper Street,Sandringham,19880000,house,2011,3,3,2,SC_079,2964,19948,758,28,0,hospital_058,1068,S_214,1704
1824,89474,-37.950568,145.008565,35 Sandringham Road,Sandringham,11970000,house,2014,4,2,1,SC_079,2857,19948,352,28,0,hospital_036,1001,S_214,1321
1825,89494,-37.95134,145.010391,38 Sandringham Road,Sandringham,4730000,house,2016,4,2,2,SC_079,2704,19948,523,28,0,hospital_036,1152,S_214,1223
1826,89580,-37.951496,145.011481,50 Sandringham Road,Sandringham,25500000,house,2014,4,2,2,SC_079,2610,19948,621,28,0,hospital_036,1217,S_214,1154
1827,89749,-37.964364,145.068583,1 Lorna Street,Cheltenham,6000000,house,2010,3,2,2,SC_003,1948,19866,1256,36,0,hospital_109,578,S_023,1246
1828,89755,-37.961898,145.077167,1 Nova Court,Cheltenham,9958000,house,2010,3,2,2,SC_003,1465,19866,2053,36,0,hospital_109,223,S_023,1893
1829,89781,-37.97245026,145.0750122,1/13 Alden Court,Cheltenham,8896000,house,2009,4,2,1,SC_003,1241,19865,1358,38,0,hospital_109,1096,S_003,1308
1830,89823,-37.961571,145.052326,10 Jean Street,Cheltenham,9520000,house,2016,3,2,3,SC_079,1700,19866,598,36,0,hospital_082,411,S_023,386
1831,89831,-37.955073,145.062389,10 Parnell Street,Cheltenham,5850000,house,2013,3,2,2,SC_079,1984,19866,1460,36,0,hospital_082,775,S_023,755
1832,89870,-37.962914,145.067571,11 Evergreen Circuit,Cheltenham,6830000,house,2014,3,2,1,SC_003,2096,19866,1215,36,0,hospital_109,634,S_023,1100
1833,89915,-37.963707,145.054305,12 Barker Street,Cheltenham,14705000,house,2015,3,1,1,SC_079,1995,19866,328,36,0,hospital_082,422,S_023,490
1834,90048,-37.972015,145.059908,15 Charles Street,Cheltenham,7040000,house,2011,4,2,2,SC_003,2560,19866,759,36,0,hospital_055,1122,S_011,1085
1835,90062,-37.962653,145.045993,15 Olympic Avenue,Cheltenham,7965000,house,2014,4,2,0,SC_079,1565,19866,873,36,0,hospital_082,979,S_023,932
1836,90200,-37.963993,145.058403,2 Goulburn St,Cheltenham,10288000,house,2013,3,2,2,SC_079,2247,19866,448,36,0,hospital_082,417,S_023,553
1837,90213,-37.97048187,145.043335,2 Maiya Court,Cheltenham,6760000,house,2009,4,3,2,SC_079,2384,19866,1073,36,0,hospital_055,1305,S_023,1644
1838,90233,-37.9659396,145.0609195,2 Wilson Street,Cheltenham,6760000,house,2012,3,2,2,SC_003,2536,19866,563,36,0,hospital_082,708,S_023,848
1839,90275,-37.974432,145.073099,200 Warrigal Road,Cheltenham,11832000,house,2016,3,2,1,SC_003,1448,19865,1081,38,0,hospital_133,954,S_003,1131
1840,90282,-37.972144,145.075747,21 Alden Court,Cheltenham,15150000,house,2016,3,1,3,SC_003,1174,19865,1425,38,0,hospital_109,1065,S_003,1334
1841,90327,-37.962171,145.04559,22 Wembley Avenue,Cheltenham,7700000,house,2012,3,2,2,SC_079,1504,19866,931,36,0,hospital_082,1002,S_023,947
1842,90479,-37.97344,145.066996,3 Hallinan Court,Cheltenham,11680000,house,2011,3,1,2,SC_003,1953,19865,951,38,0,hospital_133,879,S_011,988
1843,90515,-37.962151,145.069335,30 Lorna Street,Cheltenham,12359000,house,2010,3,2,1,SC_003,1999,19866,1390,36,0,hospital_109,480,S_023,1223
1844,90519,-37.964829,145.066123,30 Silver Street,Cheltenham,10285000,house,2010,4,2,1,SC_003,2132,19866,1034,36,0,hospital_109,799,S_023,1083
1845,90571,-37.975047,145.078242,33 Voltri Street,Cheltenham,9920000,house,2014,3,1,1,SC_003,1044,19865,1375,38,0,hospital_133,1234,S_003,1009
1846,90689,-37.969388,145.082256,41 Hibiscus Avenue,Cheltenham,5720000,house,2014,3,2,2,SC_003,628,19865,2044,38,0,hospital_109,1000,S_003,1695
1847,90700,-37.97000885,145.0654297,42 Evesham Road,Cheltenham,8500000,house,2009,4,2,1,SC_003,2077,19866,1024,36,0,hospital_109,1163,S_011,1312
1848,90734,-37.970934,145.076846,47 Hilda Street,Cheltenham,6504000,house,2011,4,2,2,SC_003,1072,19865,1590,38,0,hospital_109,945,S_003,1463
1849,90746,-37.959231,145.049774,49 Jean Street,Cheltenham,19050000,house,2016,3,1,1,SC_079,1359,19866,926,36,0,hospital_082,631,S_023,531
1850,90795,-37.970997,145.040344,50 Weatherall Road (Beaumaris Border),Cheltenham,7560000,house,2012,3,1,2,SC_079,2434,19866,1337,36,0,hospital_055,1433,S_023,1869
1851,90925,-37.966139,145.085707,66 Benkel Avenue,Cheltenham,10218000,house,2015,3,2,2,SC_003,628,19865,2512,38,0,hospital_109,1036,S_003,2132
1852,90927,-37.971717,145.082338,66 Snowdon Drive,Cheltenham,8060000,house,2012,4,2,2,SC_003,593,19865,1883,38,0,hospital_109,1212,S_003,1448
1853,91007,-37.95187378,145.0658722,8 Christensen Street,Cheltenham,3296000,house,2008,3,1,1,SC_079,2198,19866,1921,36,0,hospital_082,1244,S_023,1221
1854,91118,-37.972904,145.036312,1 McDonald Street,Beaumaris,14300000,house,2014,3,2,2,SC_079,2678,19866,1745,36,0,hospital_055,1590,S_023,2273
1855,91144,-37.974852,145.030127,10 Mary Street,Beaumaris,23940000,house,2016,4,2,2,SC_079,3019,19866,2330,36,0,hospital_058,1784,S_023,2831
1856,91156,-37.9830021,145.0430068,102 Pellatt Street,Beaumaris,9756000,house,2012,3,1,1,SC_079,3774,19865,1948,38,0,hospital_055,862,S_011,1711
1857,91181,-37.97705078,145.0410919,11 Ozone Avenue,Beaumaris,11011000,house,2008,3,1,0,SC_079,3107,19866,1654,36,0,hospital_055,1015,S_011,1938
1858,91185,-37.983539,145.037934,113 Dalgetty Road,Beaumaris,12480000,house,2012,3,1,1,SC_079,3839,19866,2379,36,0,hospital_055,1300,S_011,2160
1859,91206,-37.978924,145.03658,12 McNaught Street,Beaumaris,13650000,house,2011,4,3,2,SC_079,3339,19866,2087,36,0,hospital_055,1362,S_011,2287
1860,91262,-37.978742,145.036627,14 McNaught Street,Beaumaris,11620000,house,2012,4,2,2,SC_079,3318,19866,2070,36,0,hospital_055,1360,S_011,2285
1861,91286,-37.980361,145.04077,15 Coreen Avenue,Beaumaris,23520000,house,2016,5,3,3,SC_079,3476,19866,1947,36,0,hospital_055,991,S_011,1905
1862,91298,-37.979909,145.039293,158 Dalgetty Road,Beaumaris,21150000,house,2015,5,3,2,SC_079,3429,19866,1993,36,0,hospital_055,1119,S_011,2038
1863,91321,-37.979366,145.039396,166 Dalgetty Road,Beaumaris,15680000,house,2015,4,2,2,SC_079,3368,19866,1942,36,0,hospital_055,1112,S_011,2035
1864,91426,-37.980165,145.041435,22 Coreen Avenue,Beaumaris,18200000,house,2016,5,2,2,SC_079,3454,19866,1894,36,0,hospital_055,932,S_011,1848
1865,91436,-37.974897,145.037767,22 Wood Street,Beaumaris,7020000,house,2012,3,1,2,SC_079,2882,19866,1736,36,0,hospital_055,1375,S_011,2287
1866,91437,-37.97113419,145.0360565,220 Reserve Road,Beaumaris,11635000,house,2009,3,1,2,SC_079,2488,19866,1698,36,0,hospital_055,1714,S_023,2167
